date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2022-07-24,6,22,1,1,low,22,high,1664.34,1545.67,1548.66,1597.7,0.0316660855190939
2022-07-25,0,0,23,0,high,23,low,1609.55,1435.58,1597.7,1440.79,-0.09820992676973153
2022-07-26,1,23,20,20,low,23,high,1454.11,1356.17,1440.79,1449.12,0.005781550399433594
2022-07-27,2,23,3,3,low,23,high,1644.44,1420.83,1449.12,1635.74,0.1287816053880977
2022-07-28,3,20,12,12,low,20,high,1784.79,1593.27,1635.74,1724.52,0.05427512929927737
2022-07-29,4,23,12,12,low,23,high,1765.99,1655.02,1724.52,1721.68,-0.0016468350613503572
2022-07-30,5,15,22,15,high,22,low,1744.85,1673.01,1721.68,1697.0,-0.014334835741833595
2022-07-31,6,18,22,18,high,22,low,1754.69,1666.0,1697.0,1678.12,-0.01112551561579264
2022-08-01,0,2,22,2,high,22,low,1704.68,1606.12,1678.12,1630.28,-0.028508092389102044
2022-08-02,1,17,9,9,low,17,high,1678.0,1559.28,1630.28,1630.91,0.0003864366857227649
2022-08-03,2,12,1,1,low,12,high,1685.03,1589.71,1630.91,1618.16,-0.007817721394804127
2022-08-04,3,5,16,5,high,16,low,1662.79,1580.39,1618.16,1607.96,-0.006303455776931852
2022-08-05,4,23,0,0,low,23,high,1742.07,1605.64,1607.97,1736.81,0.08012587299514289
2022-08-06,5,0,17,0,high,17,low,1749.93,1685.26,1736.81,1690.6,-0.026606249388246288
2022-08-07,6,21,1,1,low,21,high,1729.79,1668.0,1690.6,1700.19,0.005672542292677243
2022-08-08,0,12,1,1,low,12,high,1818.0,1693.87,1700.2,1777.05,0.04520056463945413
2022-08-09,1,7,14,7,high,14,low,1790.83,1667.93,1777.05,1702.76,-0.04180523901972368
2022-08-10,2,21,0,0,low,21,high,1885.0,1656.78,1702.76,1853.57,0.08856797199840256
2022-08-11,3,12,0,0,low,12,high,1942.0,1850.32,1853.58,1880.19,0.01435600297802098
2022-08-12,4,23,11,11,low,23,high,1964.71,1853.06,1880.19,1958.28,0.04153303655481622
2022-08-13,5,6,0,0,low,6,high,2020.0,1946.5,1958.28,1983.55,0.0129041812202545
2022-08-14,6,7,18,7,high,18,low,2030.0,1906.0,1983.55,1935.31,-0.02432003226538278
2022-08-15,0,3,13,3,high,13,low,2012.47,1872.31,1935.32,1899.06,-0.018735919641196284
2022-08-16,1,11,18,11,high,18,low,1915.0,1853.0,1899.05,1876.67,-0.011784839788315148
2022-08-17,2,6,13,6,high,13,low,1959.43,1818.74,1876.67,1834.25,-0.022603867488690112
