date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2025-04-07,0,14,7,7,low,14,high,81243.58,74508.0,78430.0,79163.24,0.00934897360703819
2025-04-08,1,2,22,2,high,22,low,80867.99,76239.9,79163.24,76322.42,-0.03588559538492875
2025-04-09,2,21,1,1,low,21,high,83588.0,74620.0,76322.42,82615.22,0.08245021580814658
2025-04-10,3,0,16,0,high,16,low,82753.21,78464.36,82615.22,79607.3,-0.036408787630172725
2025-04-11,4,21,0,0,low,21,high,84300.0,78969.58,79607.3,83423.84,0.047942085713244806
2025-04-12,5,20,3,3,low,20,high,85905.0,82792.95,83423.83,85276.9,0.022212717876894317
2025-04-13,6,1,21,1,high,21,low,86100.0,83034.23,85276.91,83760.0,-0.01778805071619039
2025-04-14,0,14,0,0,low,14,high,85799.99,83678.0,83760.0,84591.58,0.009928127984718264
2025-04-15,1,13,23,13,high,23,low,86496.42,83600.0,84591.58,83643.99,-0.011201942320973275
2025-04-16,2,17,1,1,low,17,high,85500.0,83111.64,83643.99,84030.38,0.004619459210398732
2025-04-17,3,18,14,14,low,18,high,85470.01,83736.26,84030.38,84947.91,0.010919027142326367
2025-04-18,4,1,16,1,high,16,low,85132.08,84303.96,84947.92,84474.69,-0.005570825041978614
2025-04-19,5,15,0,0,low,15,high,85677.99,84364.45,84474.7,85077.01,0.007130063794248428
2025-04-20,6,1,11,1,high,11,low,85320.76,83949.52,85077.0,85179.24,0.0012017348989739323
2025-04-21,0,14,0,0,low,14,high,88465.99,85144.76,85179.24,87516.23,0.027436145239145015
2025-04-22,1,21,0,0,low,21,high,93888.0,87076.03,87516.22,93442.99,0.06772196056913797
2025-04-23,2,13,15,13,high,15,low,94696.05,91935.41,93442.99,93691.08,0.002654987816635539
2025-04-24,3,23,8,8,low,23,high,94005.0,91660.01,93691.07,93980.47,0.003088874958947466
2025-04-25,4,14,3,3,low,14,high,95758.04,92855.96,93980.47,94638.68,0.007003689170739323
2025-04-26,5,1,13,1,high,13,low,95199.0,93870.69,94638.68,94628.0,-0.00011285026376100149
2025-04-27,6,1,13,1,high,13,low,95369.0,93602.58,94628.0,93749.3,-0.009285835059390424
2025-04-28,0,12,1,1,low,12,high,95630.0,92800.01,93749.29,95011.18,0.013460261939050413
2025-04-29,1,1,23,1,high,23,low,95461.53,93742.54,95011.18,94256.82,-0.007939697201950192
2025-04-30,2,11,14,11,high,14,low,95228.45,92910.0,94256.82,94172.0,-0.0008998818334843779
2025-05-01,3,15,0,0,low,15,high,97424.02,94130.43,94172.0,96489.91,0.02461357940789198
2025-05-02,4,14,7,7,low,14,high,97895.68,96350.0,96489.9,96887.14,0.004116907572709737
2025-05-03,5,0,23,0,high,23,low,96935.67,95753.01,96887.13,95856.42,-0.010638255049974196
2025-05-04,6,2,23,2,high,23,low,96304.48,94151.38,95856.42,94277.62,-0.0164704669755036
2025-05-05,0,22,2,2,low,22,high,95199.0,93514.1,94277.61,94733.68,0.004837521867599236
2025-05-06,1,23,13,13,low,23,high,96920.65,93377.0,94733.68,96834.02,0.02217099557411906
2025-05-07,2,1,19,1,high,19,low,97732.0,95784.61,96834.02,97030.5,0.002029038967916399
2025-05-08,3,21,0,0,low,21,high,104145.76,96876.29,97030.5,103261.6,0.06421795208723037
2025-05-09,4,7,16,7,high,16,low,104361.3,102315.14,103261.61,102971.99,-0.002804720941306216
2025-05-10,5,23,0,0,low,23,high,104984.57,102818.76,102971.99,104809.53,0.017845046988020658
2025-05-11,6,0,7,0,high,7,low,104972.0,103345.06,104809.53,104118.0,-0.006597968715249452
2025-05-12,0,7,18,7,high,18,low,105819.45,100718.37,104118.0,102791.32,-0.012742081100289989
2025-05-13,1,19,3,3,low,19,high,104976.25,101429.7,102791.32,104103.72,0.012767615008738034
2025-05-14,2,13,17,13,high,17,low,104356.95,102602.05,104103.72,103507.82,-0.005724099004339078
2025-05-15,3,17,14,14,low,17,high,104192.7,101383.07,103507.83,103763.71,0.002472083512909165
2025-05-16,4,16,8,8,low,16,high,104550.33,103100.49,103763.71,103463.9,-0.002889353127408534
2025-05-17,5,5,1,1,low,5,high,103709.86,102612.5,103463.9,103126.65,-0.0032595910264353076
2025-05-18,6,23,0,0,low,23,high,106660.0,103105.09,103126.65,106454.26,0.03226721705786041
2025-05-19,0,0,6,0,high,6,low,107108.62,102000.0,106454.27,105573.74,-0.00827143899441515
2025-05-20,1,20,13,13,low,20,high,107320.0,104184.72,105573.73,106849.99,0.012088802773189973
2025-05-21,2,23,9,9,low,23,high,110797.38,106100.01,106850.0,109643.99,0.026148713149274732
2025-05-22,3,17,0,0,low,17,high,111980.0,109177.37,109643.99,111696.21,0.018717122570968105
2025-05-23,4,0,23,0,high,23,low,111800.0,106800.0,111696.22,107318.3,-0.039194880542958374
2025-05-24,5,11,0,0,low,11,high,109506.03,106875.41,107318.3,107761.91,0.004133591381898526
2025-05-25,6,23,15,15,low,23,high,109299.99,106600.64,107761.9,109004.19,0.011528100376849409
2025-05-26,0,16,0,0,low,16,high,110422.22,108670.58,109004.2,109434.79,0.003950214762366923
2025-05-27,1,13,1,1,low,13,high,110718.0,107516.57,109434.78,108938.17,-0.0045379540215642646
2025-05-28,2,1,20,1,high,20,low,109284.7,106769.43,108938.17,107781.78,-0.010615103962183315
2025-05-29,3,11,23,11,high,23,low,108891.91,105322.86,107781.78,105589.75,-0.02033766746104953
2025-05-30,4,5,23,5,high,23,low,106313.12,103621.0,105589.75,103985.48,-0.015193425498213644
2025-05-31,5,22,3,3,low,22,high,104900.0,103068.55,103985.47,104591.88,0.00583168013761926
2025-06-01,6,23,9,9,low,23,high,105866.91,103752.49,104591.88,105642.93,0.010049059257754888
2025-06-02,0,8,14,8,high,14,low,105935.63,103659.88,105642.93,105857.99,0.0020357254385126597
2025-06-03,1,15,8,8,low,15,high,106794.67,104872.5,105858.0,105376.89,-0.0045448619849232045
2025-06-04,2,10,14,10,high,14,low,106000.0,104179.0,105376.9,104696.86,-0.006453406771313197
2025-06-05,3,13,20,13,high,20,low,105909.71,100372.26,104696.86,101508.68,-0.03045153407657123
2025-06-06,4,15,0,0,low,15,high,105333.0,101095.8,101508.69,104288.44,0.02738435497492875
2025-06-07,5,20,0,0,low,20,high,105900.0,103871.09,104288.43,105552.15,0.012117547459483293
2025-06-08,6,21,10,10,low,21,high,106488.14,104964.14,105552.15,105734.0,0.0017228450581064036
2025-06-09,0,21,3,3,low,21,high,110530.17,105318.37,105734.01,110263.02,0.04283399447349069
2025-06-10,1,19,15,15,low,19,high,110400.0,108331.03,110263.02,110274.39,0.00010311707406522461
2025-06-11,2,14,22,14,high,22,low,110392.01,108064.0,110274.39,108645.12,-0.014774690660270295
2025-06-12,3,0,23,0,high,23,low,108813.55,105671.72,108645.13,105671.73,-0.027368000756223573
2025-06-13,4,23,1,1,low,23,high,106179.53,102664.31,105671.74,106066.59,0.0037365713860677535
2025-06-14,5,0,20,0,high,20,low,106252.0,104300.0,106066.59,105414.64,-0.006146610351101107
2025-06-15,6,6,21,6,high,21,low,106128.57,104494.53,105414.63,105594.01,0.0017016613348639568
2025-06-16,0,22,1,1,low,22,high,108952.38,104980.37,105594.02,106794.53,0.011369109727994016
2025-06-17,1,3,17,3,high,17,low,107771.34,103371.02,106794.53,104551.17,-0.02100631933114927
2025-06-18,2,5,19,5,high,19,low,105550.27,103500.0,104551.17,104886.78,0.003210007119002117
2025-06-19,3,0,17,0,high,17,low,105226.17,103929.27,104886.79,104658.59,-0.002175679129850357
2025-06-20,4,8,17,8,high,17,low,106524.65,102345.0,104658.59,103297.99,-0.013000366238452011
2025-06-21,5,10,23,10,high,23,low,103982.64,100837.9,103297.98,102120.01,-0.011403611183877954
2025-06-22,6,0,20,0,high,20,low,103399.62,98200.0,102120.02,100963.87,-0.011321482310716436
2025-06-23,0,22,16,16,low,22,high,106074.2,99613.33,100963.87,105333.93,0.04328340425144161
2025-06-24,1,17,8,8,low,17,high,106290.0,104622.02,105333.94,106083.0,0.007111288156504899
2025-06-25,2,14,0,0,low,14,high,108135.3,105808.03,106083.0,107340.58,0.011854679826173862
2025-06-26,3,3,15,3,high,15,low,108272.45,106562.5,107340.59,106947.06,-0.003666180705733021
2025-06-27,4,7,13,7,high,13,low,107735.34,106356.76,106947.06,107047.59,0.0009399977895605437
2025-06-28,5,15,1,1,low,15,high,107577.75,106811.51,107047.58,107296.79,0.0023280302086230425
2025-06-29,6,12,2,2,low,12,high,108528.5,107172.52,107296.79,108356.93,0.009880444699230979
2025-06-30,0,0,15,0,high,15,low,108789.99,106733.33,108356.93,107146.5,-0.011170766835125294
2025-07-01,1,1,20,1,high,20,low,107540.0,105250.85,107146.51,105681.14,-0.013676320395316613
2025-07-02,2,17,1,1,low,17,high,109730.0,105100.19,105681.13,108849.6,0.029981416739204066
2025-07-03,3,13,2,2,low,13,high,110529.18,108530.4,108849.59,109584.78,0.0067541825375731996
2025-07-04,4,1,19,1,high,19,low,109767.59,107245.0,109584.77,107984.24,-0.014605405477421715
2025-07-05,5,4,2,2,low,4,high,108420.56,107756.31,107984.25,108198.12,0.001980566610408419
2025-07-06,6,21,10,10,low,21,high,109700.0,107800.01,108198.12,109203.84,0.009295170747883616
2025-07-07,0,3,18,3,high,18,low,109700.0,107513.2,109203.85,108262.94,-0.008616088169052679
2025-07-08,1,13,2,2,low,13,high,109216.56,107429.57,108262.94,108922.98,0.006096638424930947
